Table 1
,,,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
整體物業註冊宗數,,,"147,423","205,461","111,489","98,466","85,744","88,190","85,921","87,309","123,480","123,697","99,087","145,691","113,298","133,962","162,739","108,814","115,533","70,503","81,489","76,159","73,004","83,815","79,193","74,804","73,322","96,133","57,915"
整體物業註冊金額(億元),,,4746.60,8680.19,3409.06,2566.41,2225.20,1928.08,1853.93,1894.18,3517.87,3955.07,3151.95,5256.25,4131.12,5156.95,6894.80,5878.90,6539.58,4562.81,5474.59,5486.54,5328.57,7264.15,7413.83,6924.39,6283.85,9178.38,5497.39
"一手住宅
註冊宗數",私人住宅,香港,"2,503","1,687","1,402","1,968","3,107","3,827","2,047","3,956","4,139","3,031","1,477","2,995",498,"1,318","1,999","1,546","1,459","1,102","2,154","1,376","1,984","1,707","2,122",919,698,"1,872",321
,,九龍,"3,864","1,793","6,248","3,831","3,130","5,193","9,272","6,840","7,712","4,659","2,827","5,008","2,876","5,840","3,461","2,002","3,186","2,362","2,832","4,445","3,815","6,345","3,044","6,021","2,926","5,494","2,312"
,,新界東,"5,479","6,601","13,474","7,899","6,667","4,610","6,395","5,874","4,479","4,743","3,425","2,997","4,233","5,596","4,457","4,734","5,828","2,118","6,007","5,369","5,166","3,322","6,648","7,873","5,656","4,965","2,958"
,,新界西,"7,231","7,472","9,656","7,058","3,847","7,094","8,522","10,739","9,743","3,083","5,276","7,299","2,025","2,852","2,564","2,197","2,203","4,144","5,274","4,711","5,209","6,558","3,137","5,469","5,639","5,020","4,535"
,,總數,"19,077","17,553","30,780","20,756","16,751","20,724","26,236","27,409","26,073","15,516","13,005","18,299","9,632","15,606","12,481","10,479","12,676","9,726","16,267","15,901","16,174","17,932","14,951","20,282","14,919","17,351","10,126"
,"資助房屋
及其他",香港,126,"3,752",101,"1,023","3,098","1,624",1,0,0,0,0,8,44,2,15,0,0,0,0,0,0,0,0,0,11,13,227
,,九龍,"1,036","1,003","5,054","3,366","3,511",355,0,0,0,0,0,493,78,1,112,0,0,0,0,0,323,550,42,"1,750",221,78,46
,,新界東,"1,029","2,592","5,315",238,746,"3,273",0,0,0,0,5,31,13,2,685,0,0,0,0,2,"1,022",53,338,2,499,737,184
,,新界西,406,"2,893","4,350","1,049",110,302,0,0,0,1,0,577,776,0,192,0,0,"1,068",0,18,14,391,731,30,290,33,389
,,總數,"2,597","10,240","14,820","5,676","7,465","5,554",1,0,0,1,5,"1,109",911,5,"1,004",0,0,"1,068",0,20,"1,359",994,"1,111","1,782","1,021",861,846
"二手住宅
註冊宗數",私人住宅,香港,"30,995","37,015","13,177","12,791","10,243","10,211","10,204","9,845","16,976","18,127","16,022","24,629","16,307","19,116","23,716","14,079","12,771","6,825","8,113","7,562","7,243","8,229","8,702","7,909","8,340","10,301","5,631"
