Sex,Age group,1997 Mid-year,1997 Year-end,1998 Mid-year,1998 Year-end,1999 Mid-year,1999 Year-end,2000 Mid-year,2000 Year-end,2001 Mid-year,2001 Year-end,2002 Mid-year,2002 Year-end,2003 Mid-year,2003 Year-end,2004 Mid-year,2004 Year-end,2005 Mid-year,2005 Year-end,2006 Mid-year,2006 Year-end,2007 Mid-year,2007 Year-end,2008 Mid-year,2008 Year-end,2009 Mid-year,2009 Year-end,2010 Mid-year,2010 Year-end,2011 Mid-year,2011 Year-end,2012 Mid-year,2012 Year-end,2013 Mid-year,2013 Year-end,2014 Mid-year,2014 Year-end,2015 Mid-year,2015 Year-end,2016 Mid-year,2016 Year-end,2017 Mid-year,2017 Year-end,2018 Mid-year,2018 Year-end,2019 Mid-year,2019 Year-end,2020 Mid-year,2020 Year-end,2021 Mid-year,2021 Year-end,2022 Mid-year
Male,0 - 4,189300.0,181800.0,177200.0,169800.0,168200.0,159000.0,153400.0,147200.0,142000.0,136000.0,130300.0,125300.0,122800.0,121600.0,118300.0,116800.0,114400.0,110600.0,110400.0,115000.0,111300.0,116100.0,114000.0,117800.0,117700.0,120800.0,124200.0,129500.0,129500.0,132500.0,136300.0,136800.0,134200.0,133900.0,137400.0,140300.0,146200.0,144800.0,144800.0,144400.0,141200.0,135500.0,138200.0,136900.0,134900.0,131800.0,127000.0,121600.0,117500.0,113700.0,108300.0
Male,5 - 9,202700.0,205200.0,207000.0,207800.0,209000.0,208800.0,208800.0,207700.0,205200.0,202600.0,200800.0,194400.0,191600.0,187900.0,182800.0,175400.0,171300.0,166400.0,162300.0,155000.0,152600.0,144400.0,146000.0,138300.0,136300.0,133200.0,131100.0,126400.0,125800.0,128400.0,125800.0,130300.0,127900.0,133900.0,136000.0,139300.0,145000.0,149900.0,151200.0,154200.0,157100.0,159000.0,158700.0,156300.0,160000.0,158800.0,156400.0,151100.0,148800.0,145100.0,138900.0
Male,10 - 14,218400.0,215800.0,217000.0,221100.0,220900.0,221300.0,221900.0,222100.0,220900.0,220900.0,222600.0,221900.0,221100.0,217900.0,217000.0,215000.0,213100.0,211400.0,211300.0,211900.0,209900.0,206900.0,203400.0,198600.0,192300.0,186100.0,181500.0,174700.0,170900.0,160500.0,158300.0,149200.0,149200.0,142900.0,141500.0,138600.0,136000.0,131500.0,132300.0,136700.0,134900.0,141600.0,141300.0,145500.0,145600.0,147800.0,147200.0,150200.0,149700.0,150000.0,150800.0
Male,15 - 19,233300.0,237200.0,237300.0,238600.0,237000.0,238100.0,236400.0,235200.0,229300.0,226900.0,224800.0,222000.0,219700.0,221300.0,221400.0,220400.0,220200.0,222500.0,222300.0,224900.0,226100.0,227500.0,226800.0,222900.0,221800.0,221500.0,220300.0,218800.0,217300.0,216900.0,215300.0,213000.0,208700.0,205300.0,198500.0,192200.0,186600.0,180200.0,176500.0,165900.0,161400.0,152100.0,151800.0,145700.0,143600.0,142800.0,137500.0,133900.0,134900.0,140900.0,132600.0
Male,20 - 24,235600.0,233900.0,230800.0,230600.0,227400.0,226400.0,224700.0,226900.0,225100.0,224100.0,222700.0,222400.0,221800.0,224000.0,226000.0,227000.0,226400.0,225500.0,225600.0,223700.0,221300.0,219100.0,217900.0,218900.0,218900.0,219600.0,219900.0,222100.0,221700.0,223900.0,226300.0,227000.0,226300.0,224100.0,223800.0,223400.0,222600.0,220600.0,220300.0,219300.0,216500.0,213200.0,208700.0,204000.0,195600.0,188600.0,182600.0,171900.0,164700.0,162300.0,146800.0
Male,25 - 29,246000.0,244900.0,245200.0,243700.0,243500.0,245400.0,242600.0,242200.0,240500.0,239500.0,236200.0,231100.0,228000.0,225500.0,223300.0,221300.0,220500.0,222900.0,223800.0,225700.0,226700.0,228700.0,230500.0,230800.0,230600.0,230200.0,230300.0,228900.0,229500.0,227500.0,226000.0,223000.0,221800.0,223500.0,224200.0,224500.0,226000.0,227800.0,227700.0,228800.0,229700.0,229200.0,227700.0,224500.0,224600.0,223700.0,221900.0,216700.0,214500.0,211800.0,205900.0
Male,30 - 34,300000.0,291800.0,284800.0,278400.0,271100.0,264300.0,263200.0,259900.0,255900.0,253500.0,251600.0,249100.0,247000.0,244900.0,243900.0,242500.0,241800.0,239900.0,238800.0,238800.0,236700.0,232400.0,230200.0,227600.0,225000.0,223500.0,223300.0,225200.0,225800.0,226800.0,228400.0,230200.0,231900.0,232900.0,233000.0,232800.0,233800.0,232100.0,233000.0,231300.0,229300.0,227400.0,227900.0,230500.0,230100.0,231200.0,231200.0,229800.0,228000.0,226700.0,225000.0
Male,35 - 39,336300.0,334800.0,334800.0,331400.0,331000.0,329100.0,323100.0,316500.0,312700.0,307700.0,301100.0,292100.0,283300.0,276800.0,270500.0,261900.0,256600.0,252300.0,248000.0,245300.0,243400.0,241900.0,241300.0,239900.0,240000.0,239300.0,238700.0,235700.0,234500.0,234500.0,234500.0,231100.0,229500.0,228400.0,226800.0,225100.0,225300.0,227000.0,228000.0,230000.0,232200.0,234800.0,237700.0,239400.0,240300.0,240600.0,240100.0,235100.0,234500.0,230900.0,227400.0
Male,40 - 44,288100.0,295100.0,303900.0,311800.0,316400.0,319600.0,326900.0,333900.0,335400.0,334600.0,335200.0,334200.0,332900.0,329800.0,328900.0,325000.0,318400.0,309000.0,304400.0,299600.0,293100.0,284600.0,277100.0,269400.0,262700.0,254700.0,250000.0,246200.0,242700.0,240700.0,241200.0,240600.0,239800.0,239200.0,239700.0,239600.0,239200.0,235800.0,234600.0,235600.0,234700.0,232200.0,232000.0,231700.0,231900.0,233100.0,233600.0,234500.0,235000.0,234300.0,234100.0
Male,45 - 49,243900.0,248000.0,249900.0,252700.0,256000.0,257600.0,260700.0,264400.0,270500.0,278100.0,283600.0,289900.0,297400.0,305100.0,309400.0,314300.0,319500.0,324300.0,323700.0,320700.0,320100.0,320500.0,320100.0,317100.0,315900.0,313300.0,307700.0,299400.0,295300.0,291300.0,286100.0,278500.0,270800.0,264500.0,258000.0,250500.0,246100.0,243100.0,240200.0,240500.0,241100.0,242200.0,243100.0,244100.0,246100.0,247500.0,246000.0,242100.0,242200.0,238700.0,234000.0
