Date,Dow Jones Price,S&P 500 Price,Nasdaq Price
12/30/2022,"33,147.28","3,839.50","10,939.76"
12/29/2022,"33,221.06","3,849.28","10,951.05"
12/28/2022,"32,875.01","3,783.22","10,679.34"
12/27/2022,"33,241.69","3,829.25","10,822.51"
12/23/2022,"33,204.26","3,844.82","10,985.45"
12/22/2022,"33,028.22","3,822.39","10,956.14"
12/21/2022,"33,376.48","3,878.44","11,235.88"
12/20/2022,"32,850.01","3,821.62","11,072.42"
12/19/2022,"32,756.61","3,817.66","11,084.59"
12/16/2022,"32,920.00","3,852.36","11,243.72"
12/15/2022,"33,202.81","3,895.75","11,345.22"
12/14/2022,"33,965.69","3,995.32","11,740.92"
12/13/2022,"34,110.69","4,019.65","11,834.21"
12/12/2022,"34,004.81","3,990.56","11,706.44"
12/09/2022,"33,475.60","3,934.38","11,563.33"
12/08/2022,"33,780.16","3,963.51","11,637.50"
12/07/2022,"33,596.87","3,933.92","11,497.39"
12/06/2022,"33,596.51","3,941.26","11,549.68"
12/05/2022,"33,946.51","3,998.84","11,786.80"
12/02/2022,"34,428.95","4,071.70","11,994.26"
12/01/2022,"34,396.53","4,076.57","12,041.89"
11/30/2022,"34,587.46","4,080.11","12,030.06"
11/29/2022,"33,850.48","3,957.63","11,503.45"
11/28/2022,"33,849.66","3,963.94","11,587.75"
11/25/2022,"34,346.83","4,026.12","11,759.62"
11/23/2022,"34,195.11","4,027.26","11,838.71"
11/22/2022,"34,098.03","4,003.58","11,724.84"
11/21/2022,"33,700.87","3,949.94","11,553.45"
11/18/2022,"33,747.14","3,965.34","11,677.02"
11/17/2022,"33,547.37","3,946.56","11,676.86"
11/16/2022,"33,556.60","3,958.79","11,699.09"
11/15/2022,"33,594.17","3,991.73","11,871.15"
11/14/2022,"33,537.16","3,957.25","11,700.94"
11/11/2022,"33,749.18","3,992.93","11,817.01"
11/10/2022,"33,712.21","3,956.37","11,605.96"
11/09/2022,"32,514.27","3,748.57","10,797.55"
11/08/2022,"33,162.28","3,828.11","11,059.50"
11/07/2022,"32,829.18","3,806.80","10,977.00"
11/04/2022,"32,404.80","3,770.55","10,857.03"
11/03/2022,"31,999.34","3,719.89","10,690.60"
11/02/2022,"32,146.77","3,759.69","10,906.34"
11/01/2022,"32,650.83","3,856.10","11,288.95"
10/31/2022,"32,734.40","3,871.98","11,405.57"
10/28/2022,"32,861.34","3,901.06","11,546.21"
10/27/2022,"32,037.83","3,807.30","11,191.63"
10/26/2022,"31,840.10","3,830.60","11,405.90"
10/25/2022,"31,837.20","3,859.11","11,669.99"
10/24/2022,"31,500.61","3,797.34","11,430.26"
10/21/2022,"31,083.02","3,752.75","11,310.33"
10/20/2022,"30,332.80","3,665.78","11,046.71"
10/19/2022,"30,425.26","3,695.16","11,103.38"
10/18/2022,"30,527.49","3,719.98","11,147.74"
10/17/2022,"30,188.79","3,677.95","11,062.53"
10/14/2022,"29,643.67","3,583.07","10,692.06"
10/13/2022,"30,038.06","3,669.91","11,033.58"
10/12/2022,"29,210.52","3,577.03","10,785.61"
10/11/2022,"29,238.66","3,588.84","10,791.35"
10/10/2022,"29,202.94","3,612.39","10,926.97"
10/07/2022,"29,297.25","3,639.66","11,039.47"
10/06/2022,"29,926.47","3,744.52","11,485.50"
10/05/2022,"30,274.80","3,783.28","11,573.18"
10/04/2022,"30,316.98","3,790.93","11,582.54"
10/03/2022,"29,490.03","3,678.43","11,229.73"
09/30/2022,"28,730.12","3,585.62","10,971.22"
09/29/2022,"29,227.59","3,640.47","11,164.78"
09/28/2022,"29,681.76","3,719.04","11,493.83"
09/27/2022,"29,136.90","3,647.29","11,271.75"
09/26/2022,"29,264.50","3,655.04","11,254.11"
09/23/2022,"29,592.85","3,693.23","11,311.24"
09/22/2022,"30,076.09","3,757.99","11,501.65"
09/21/2022,"30,183.71","3,789.93","11,637.79"
09/20/2022,"30,707.08","3,855.93","11,851.54"
09/19/2022,"31,019.82","3,899.89","11,953.27"
09/16/2022,"30,821.50","3,873.33","11,861.38"
09/15/2022,"30,962.02","3,901.35","11,927.49"
09/14/2022,"31,135.09","3,946.01","12,134.40"
09/13/2022,"31,104.90","3,932.69","12,033.62"
09/12/2022,"32,383.18","4,110.41","12,739.72"
09/09/2022,"32,151.71","4,067.36","12,588.29"
09/08/2022,"31,773.80","4,006.18","12,321.19"
09/07/2022,"31,581.65","3,979.87","12,259.39"
09/06/2022,"31,148.07","3,908.19","12,011.31"
09/02/2022,"31,318.84","3,924.26","12,098.44"
09/01/2022,"31,657.14","3,966.85","12,274.62"
08/31/2022,"31,511.09","3,955.00","12,272.03"
08/30/2022,"31,790.74","3,986.16","12,342.70"
08/29/2022,"32,099.65","4,030.61","12,484.32"
08/26/2022,"32,282.80","4,057.66","12,605.17"
08/25/2022,"33,293.66","4,199.12","13,143.58"
08/24/2022,"32,970.71","4,140.77","12,917.86"
08/23/2022,"32,908.99","4,128.73","12,881.79"
08/22/2022,"33,065.52","4,137.99","12,890.54"
08/19/2022,"33,706.15","4,228.48","13,242.90"
08/18/2022,"34,000.95","4,283.74","13,505.99"
08/17/2022,"33,980.72","4,274.04","13,470.86"
08/16/2022,"34,152.04","4,305.20","13,635.21"
08/15/2022,"33,912.63","4,297.14","13,667.18"
